Francesco Nullo,Fabryczna
Bielany,Granica Miasta
Kozierów Skrzyżowanie,Gościniec
Wołowice III,Wołowice Sklep
Hektary,Wróżenice Górka
Węgrzynowice,Węgrzynowice Centrum
Wieliczka Cmentarz,Wieliczka
Kuźnicy Kołłątajowskiej,Belwederczyków
Lubocza Przychodnia,Lubocza Szkoła
Zbydniowice,Wrząsowice
Bibice,Węgrzce
Bociana,Górka Narodowa
Wielkie Drogi,Zelczyna Szkoła
Mogilany Cicha,Mogilany Ośrodek Zdrowia
Pytlasińskiego,Swoszowice Poczta
Słomiana,Kobierzyńska
Więckowice,Lipka
Słomniki Rynek,Słomniki Osiedle
Zabierzów Piekarnia,Zabierzów I
Wańkowicza,Makuszyńskiego
Miodowa,Starowiślna
Zabierzów Gimnazjum,Zabierzów PKP
Ojcowska Wągroda,Ojcowska Dworek
Nowohucka,M1  Nowohucka
Skrajna,Wyki
Skawina Sąd,Skawina Szkoła
Niepołomice Wielicka,Niepołomice Boryczów
Obrońców Modlina,Biskupińska
Sikorki,Na Załęczu
Wyciąże Wiadukt,Cło
Złocieniowa,Jasieńskiego
Polanowice Kolonia,Polanowice
Filharmonia,Jubilat
Konary Włosań,Włosań Kopań
Kulerzów,Kulerzów Wąwóz
Rondo Matecznego,Kamieńskiego
Os.Łokietka,Chabrowa
Dworzec Główny,Lubicz
Kamieńskiego,Makowa
Conrada,Rondo Ofiar Katynia
Kleeberga,Os. Mistrzejowice Nowe
Os.Oświecenia,Park Wodny
Grabie Polanka,Polanka Hallera Dwór
Łanowa,Motyla
Jaśkowice PKP,Jaśkowice
Górka Pychowicka,Rodzinna
Wyźrał Wielka Droga,Wyźrał I
Zelków Staw,Zelków Wola
Instytut Reumatologii,Cracovia Błonia
Sułkowskiego,Wola Duchacka
Michałowice Ośrodek Zdrowia,Michałowice II
Wola Batorska Kościół,Wola Batorska Cmentarz
Ochmanów Otaczarnia,Sułków
Uniwersytet Pedagogiczny,Miasteczko Studenckie AGH
Wlotowa,Prokocim Szpital
Wysyłek,Pielgrzymowice II
Sołtysowska,Centralna
Niepołomice Batorego,Niepołomice Rynek
Kończyce,Książniczki Boisko
Torfowa,Lubostroń
Katowicka,Ojcowska Dworek
Skawina Os. Radziszowskie,Skawina Radziszowska
Rondo Piastowskie,Kleeberga
Skawina Wojska Polskiego,Skawina Samborek Most
Batorego,Teatr Bagatela
Szpital Rydygiera,Dunikowskiego
Cło,Brzeska
Rusocice Jałowce,Rusocice II
Kuźnicy Kołłątajowskiej,Bociana
Bielańska,Stopień Wodny
Brzeska,Zakępie
Łagiewniki,Borsucza
Granica Miasta,Kryspinów
Wadów Os. Kolejowe,Wadów Glinik
Krakówka,Lusina Dolna
Praska,Zielińskiego
Morawica Cmentarz,Aleksandrowice
Piaski Nowe,Dauna
