1,Starowiślna,s
2,Armii Krajowej,a
3,Wrocławska,w
4,Kościuszki,k
5,Medweckiego,m
6,Płk.Dąbka,p
7,Mierzeja Wiślana,m
8,Lipska,l
9,Saska,s
10,Płaszowska,p
11,Powstanców Wielkopolskich,p
12,Stoczniowców,s
13,Ofiar Dąbia,o
14,Al. Pokoju,a
15,Lubicz,l
16,Pawia,p
17,Warszawska,w
18,Basztowa,b
19,Prądnicka,p
20,Opolska,o
21,Mackiewicza,m
22,Dożynkowa,d
23,Al. Jana Pawła II,a
24,Doktora Twardego,d
25,Nowohucka,n
26,Zielone Wzgórze,z
27,Sławka,s
28,Makuszyńskiego,m
29,Ujastek,u
30,Al. Solidarności,a
31,Balicka,b
32,Bronowicka,b
33,Królewska,k
34,Al. Słowackiego,a
35,Mogilska,m
36,Nowolipki,n
37,Łowińskiego,ł
38,Kocmyrzowska,k
39,Bulwarowa,b
40,Radzikowskiego,r
41,Ojcowska,o
42,Stojałowskiego,s
43,Witosa,w
44,Łużycka,ł
45,Trybuny Ludów,t
46,Kamieńskiego,k
47,Konopnickiej,k
48,Halszki,h
49,Dietla,d
50,Mateczny,m
51,Stradomska,s
52,Surzyckiego,s
53,Al. 29 Listopada,a
54,Nowy Kleparz,n
55,Westerplatte,w
56,Straszewskiego,s
57,Podwale,p
58,Dunajewskiego,d
59,Lubomirskiego,l
60,Beliny-Prażmowskiego,b
61,Olszyny,o
62,Łukasiewicza,ł
63,Pilotów,p
64,Młyńska,m
65,Ułanów,u
66,Meissnera,m
67,Conrada,c
68,Malborska,m
69,Wielicka,w
70,Na Zjeździe,n
71,Grzegórzecka,g
72,Dobrego Pasterza,d
73,Majora,m
74,Powstańców,p
75,Strzelców,s
76,Lublańska,l
77,Nowosądecka,n
78,Na Kozłówce,n
79,Lindego,l
80,Podchorążych,p
81,Kijowska,k
82,Al. Mickiewicza,a
83,Fieldorfa Nila,f
84,Krowoderskich Zuchów,k
85,Al. Krasińskiego,a
86,Czarnowiejska,c
87,Teligi,t
88,Nawojki,n
89,Aleksandry,a
90,Cechowa,c
91,Kosocicka,k
92,Niebieska,n
93,Rżącka,r
94,Piłsudskiego,p
95,Stachiewicza,s
96,Makowskiego,m
97,Różyckiego,r
98,Łokietka,ł
99,Batalionu Skała AK,b
100,Wyki,w
101,Pachońskiego,p
102,Piaszczysta,p
103,Zakopiańska,z
104,Borek Fałęcki,b
105,Jugowicka,j
106,Myślenicka,m
107,Podmokła,p
108,Wadowicka,w
109,Kurniki,k
110,Sucha,s
111,Kąpielowa,k
112,Chałubińskiego,c
113,Szybisko,s
114,Łagiewniki,ł
115,Brożka,b
116,Al. Przyjaźni,a
117,Andersa,a
118,Bieńczycka,b
119,Kalwaryjska,k
120,Obrońców Modlina,o
121,Chełmska,c
122,Olszanicka,o
123,Kasztanowa,k
124,Królowej Jadwigi,k
125,Młodziejowice,m
126,Focha,f
127,Grota Roweckiego,g
128,Kapelanka,k
129,Monte Cassino,m
130,Bułhaka,b
131,Wiślicka,w
132,Srebrnych Orłów,s
133,Żeromskiego,ż
134,Mikołajczyka,m
135,Obrońców Krzyża,o
136,Piasta Kołodzieja,p
137,Piastowska,p
138,Igrców,i
139,Al. 3 Maja,a
140,Wileńska,w
141,Czerwonego Prądnika,c
142,Brogi,b
143,Miechowity,m
144,Stella-Sawickiego,s
145,Popielidów,p
146,Kruszwicka,k
147,Perkuna,p
148,Struga,s
149,Siewna,s
150,Bociana,b
151,Św. Gertrudy,ś
152,Krakowska,k
153,Wybickiego,w
154,Malczewskiego,m
155,Księcia Józefa,k
156,Limanowskiego,l
157,Broniewskiego,b
158,Most Grunwaldzki,m
159,Sawiczewskich,s
160,Kuryłowicza,k
161,Drużbackiej,d
162,Kostaneckiego,k
163,Jakubowskiego,j
164,Kobierzyńska,k
165,Babińskiego,b
166,Skotnicka,s
167,Żelazowskiego,ż
168,Krzemieniecka,k
169,Rybitwy,r
170,Szparagowa,s
171,Półłanki,p
172,Nad Drwiną,n
173,Rączna,r
174,Przewóz,p
175,Al. Róż,a
176,Igołomska,i
177,Jeziorko,j
178,Bałuckiego,b
179,Praska,p
180,Tyniecka,t
181,Dąbrowa,d
182,Bogucianka,b
183,Bolesława Śmiałego,b
184,Gaik,g
185,Na Załęczu,n
186,Sołtysowska,s
187,Budowlanych,b
188,Architektów,a
189,Gustawa Morcinka,g
190,Leśna,l
191,Dunikowskiego,d
192,Mościckiego,m
193,Sieroszewskiego,s
194,Klasztorna,k
195,Lesisko,l
196,Zachemskiego,z
197,Orkana,o
198,Kłosowa,k
199,Truskawkowa,t
200,Kąkolowa,k
201,Branicka,b
202,Karaszewicza-Tokarzewskiego,k
203,Szymańskiego,s
204,Wojciechowskiego,w
205,Jagiełły,j
206,Wańkowicza,w
207,Zawiła,z
208,Borkowska,b
209,Forteczna,f
210,Judyma,j
211,Sielska,s
212,Zawiszy,z
213,Krzyżańskiego,k
214,Matematyków Krakowskich,m
215,Golkowice,g
216,Podbipięty,p
217,Trzcinowa,t
218,Rzepakowa,r
219,Suchy Jar,s
220,Dymarek,d
221,Karowa,k
222,Balice,b
223,Kałuży,k
224,Wrobela,w
225,Sidzina Las,s
226,Wrony,w
227,Ćwiklińskiej,ć
228,Mała Góra,m
229,Łaczka,ł
230,Stolarza,s
231,Potrzask,p
232,Pruszyńskiego,p
233,Drożdżowa,d
234,Krzywda,k
235,Mirowska,m
236,Piekary,p
237,Liszki,l
238,Wyźrał,w
239,Zagacie,z
240,Czernichów,c
241,Kryspinów,k
242,Kaszów,k
243,Nowa Wieś Szlachecka,n
244,Jeziorzany,j
245,Ściejowice,ś
246,Aleksandrowice,a
247,Morawica,m
248,Budzyń,b
249,Cholerzyn,c
250,Mników,m
251,Czułów,c
252,Jancarza,j
253,Dominikańska,d
254,Zwierzyniecka,z
255,Karmelicka,k
256,Bronowice,b
257,Kopiec Wandy,k
258,Cichy Kącik,c
259,Legionów,l
260,Rakowicka,r
261,Skawina,s
262,Radziszowska,r
263,Radziszów,r
264,Pasternik,p
265,Żywiecka,ż
266,Niemcewicza,n
267,Kościuszkowców,k
268,Poległych w Krzesławicach,p
269,Libertów,l
270,Mrozowa,m
271,Długa,d
272,Kamienna,k
273,Bronowice Nowe,b
274,Okulickiego,o
275,Konary,k
276,Węgrzce,w
277,Bibice,b
278,Michałowice,m
279,Masłomiąca,m
280,Więcławice,w
281,Pielgrzymowice,p
282,Franciszkańska,f
283,Kozierów,k
284,Żerkowice,ż
285,Krasieniec,k
286,Narama,n
287,Pleszowska,p
288,Glogera,g
289,Zielonki,z
290,Gromadzka,g
291,Wyciąska,w
292,Drożyska,d
293,Brzeska,b
294,Niepołomice,n
295,Bora-Komorowskiego,b
296,Garlica,g
297,Wola Zachariaszowska,w
298,Górna Wieś,g
299,Szczyglice,s
300,Chrosna,c
301,Modlniczka,m
302,Zabierzów,z
303,Brzoskwinia,b
304,Lusina,l
305,Kraśnik,k
306,Rząska,r
307,Batowice,b
308,Bolechowice,b
309,Zelków,z
310,Kochanów,k
311,Rudawa,r
312,Młynka,m
313,Poronińska,p
314,Prandoty,p
315,Raciborowice,r
316,Zastów,z
317,Wielopole,w
318,Podgórki Tynieckie,p
319,Agatowa,a
320,Rostworowskiego,r
321,Petrażyckiego,p
322,Taklińskiego,t
323,Smoleńskiego,s
324,Opatkowice,o
325,Zachodnia,z
326,Łutnia,ł
327,Dworcowa,d
328,Lubocka,l
329,Wadowska,w
330,Glinik,g
331,Spławy,s
332,Węgrzynowicka,w
333,Organki,o
334,Bystronia,b
335,Godebskiego,g
336,Isep,i
337,Zatyka,z
338,Bieżanowska,b
339,Zarzyckiego,z
340,Sucharskiego,s
341,Wrząsowice,w
342,Dąbrówki,d
343,Ochojno,o
344,Rzeszotary,r
345,Świątniki Górne,ś
346,Mogilany,m
347,Na Błonie,n
